nbNodesNumber of Nodes =	3421
voxel size (µm)	5

all volumes, lenghts and surfaces are reported as voxels

Node ID	Location Node(x,y,z)(µm))	Node Type	Node Volume	Node Dmax	Nodes radius
121	206,767,12	border_cell	14737	20.16	6.76537
122	1254,2,12	border_cell	1703	12.044	4.03505
123	702,153,15	cell	919	9.15201	4.04709
124	830,159,13	cell	465	8.5222	3.12128
125	703,147,15	cell	1	8.06934	4.03467
126	487,269,8	cell	1630	14.1887	5.75804
127	285,382,14	border_cell	11397	23.4316	8.67747
128	1167,923,7	border_cell	6712	22.39	9.33297
129	1046,89,11	border_cell	6077	18.4406	7.42111
130	837,435,20	border_cell	10255	13.1933	5.08177
131	1078,243,9	border_cell	7472	14.1041	5.2144
132	282,412,18	border_cell	57518	34.1909	15.6516
133	973,172,18	cell	1359	8.90899	1.70711
134	616,304,19	cell	2606	13.2319	4.82667
135	1249,16,22	cell	1749	9.3764	3.98818
136	680,346,17	cell	580	8.40204	3.42697
137	476,611,25	border_cell	20990	19.4255	6.27902
138	1012,916,17	border_cell	12254	16.2633	6.52424
139	960,190,25	cell	9572	13.2645	5.11867
140	815,424,22	cell	1206	8.35125	3.18383
141	1076,475,26	cell	4479	11.0677	4.91837
142	642,141,27	cell	27297	22.2623	9.91259
143	970,179,22	cell	635	10.429	4.5683
144	840,182,23	cell	1152	10.6799	4.66002
145	629,308,24	cell	4529	14.292	6.60122
146	742,404,24	cell	13124	18.4889	8.9089
147	309,455,36	border_cell	217278	45.539	19.5039
148	57,488,23	border_cell	97955	40.1071	17.7
149	594,49,25	border_cell	73681	36.5755	16.5234
150	822,175,28	cell	19335	17.7083	6.25839
151	871,189,27	cell	18229	14.9688	5.97517
152	718,269,24	border_cell	372787	59.9875	26.0337
153	1228,154,25	border_cell	36473	19.5719	8.54586
154	695,359,25	cell	402	8.8279	2.63195
155	153,455,47	cell	252706	49.1781	14.3478
156	1204,159,27	cell	1	10.0165	5.00825
157	296,318,19	border_cell	36606	26.5129	6.22571
158	187,726,22	cell	2191	14.4448	3.30339
159	681,345,24	cell	779	10.4052	3.53839
160	127,525,28	cell	1	8.00809	4.00404
161	1076,268,27	cell	9926	16.2194	6.76358
162	266,374,69	border_cell	132956	30.3919	8.22271
163	597,619,27	cell	1103	8.43391	3.27759
164	864,200,31	cell	2149	12.1122	5.03792
165	1289,521,36	border_cell	17392	22.3311	8.25975
166	653,593,27	cell	21673	20.3481	8.3872
167	604,615,36	cell	1544	8.83487	3.92259
168	1210,765,35	cell	3935	11.7993	4.95965
169	901,786,31	border_cell	251978	55.4413	15.995
170	1132,73,28	cell	16572	25.8784	9.46341
171	962,209,31	cell	473	10.7196	3.96172
172	754,441,34	cell	3495	12.3151	4.99457
173	787,498,29	cell	3285	16.7418	5.98127
174	400,887,38	border_cell	141791	40.3934	15.5633
175	582,8,33	border_cell	12173	22.5826	7.13586
