  6298  2.138000E-003  2.138000E-003  2.138000E-003
     1 2.127310E-003 5.826050E-004 2.191450E-004   3	    0	 5961	 5070	    0	    1	  447	  448	  450
     2 2.116620E-003 3.634600E-004 1.929545E-003   2	    0	 4840	    0	    1	  446	  452
     3 1.389700E-003 1.876095E-003 5.986400E-004   1	 5598	    0	    0	  462
     4 1.026240E-003 1.069000E-005 1.117105E-003   1	 5999	    0	    0	  509
     5 2.089895E-003 3.313900E-004 1.074345E-003   1	 2120	    0	    0	  519
     6 6.414000E-005 1.544705E-003 9.193400E-004   1	 1809	    0	    0	  552
     7 1.598155E-003 5.345000E-006 1.801265E-003   1	 4999	    0	    0	  560
     8 7.910600E-004 1.389700E-003 1.111760E-003   1	 5840	    0	    0	  569
     9 2.015065E-003 1.293490E-003 2.020410E-003   1	 1870	    0	    0	  587
    10 3.207000E-005 1.501945E-003 6.627800E-004   1	   11	    0	    0	  604
    11 5.345000E-006 1.464530E-003 6.253650E-004   2	   -1	   10	    1	    0	  445	  604
    12 1.656950E-003 8.177850E-004 1.763850E-004   1	 3956	    0	    0	  608
    13 1.656950E-004 5.291550E-004 3.474250E-004   1	 5312	    0	    0	  609
    14 1.165210E-003 1.106415E-003 5.772600E-004   1	 2588	    0	    0	  657
    15 1.555395E-003 9.674450E-004 1.336250E-004   1	 2447	    0	    0	  687
    16 8.284750E-004 4.222550E-004 1.069000E-005   1	 2576	    0	    0	  697
    17 4.917400E-004 4.436350E-004 1.411080E-003   1	 5888	    0	    0	  701
    18 2.073860E-003 2.079205E-003 1.769195E-003   1	 3103	    0	    0	  724
    19 1.603500E-005 1.902820E-003 1.571430E-003   3	 5289	 3900	   -1	    1	    0	  730	  543	  444
    20 2.191450E-004 3.474250E-004 1.961615E-003   1	 2053	    0	    0	  765
    21 1.453840E-003 2.121965E-003 1.838680E-003   3	 3051	  468	 4485	    0	    0	  768	  468	  557
    22 1.854715E-003 1.395045E-003 2.047135E-003   1	  628	    0	    0	  793
    23 2.105930E-003 5.826050E-004 1.913510E-003   2	 3409	    0	    0	    1	  812	  443
    24 6.414000E-004 9.514100E-004 1.229350E-004   1	 3887	    0	    0	  846
